video_id,section_id,timestamp,movement,label
1,0,14,0.271186441,0
1,0,14,0.322033898,0
1,0,14,0.779661017,0
1,0,14,0.423728814,0
1,0,14,0.254237288,0
1,0,14,0.830508475,0
1,0,14,1,1
1,1,14,0.118644068,0
1,1,14,0.186440678,0
1,1,14,0.169491525,0
1,1,14,0.457627119,0
1,1,14,0.440677966,0
1,1,14,0.86440678,1
1,1,14,0.066666667,0
1,2,14,0.627118644,0
1,2,14,0.728813559,0
1,2,14,0.694915254,0
1,2,14,0.542372881,0
1,2,14,0.644067797,0
1,2,14,0.694915254,0
1,2,14,0.6,0
1,3,14,0.389830508,0
1,3,14,0.406779661,0
1,3,14,0.372881356,0
1,3,14,0.288135593,0
1,3,14,0.254237288,0
1,3,14,0.254237288,0
1,3,14,0.533333333,0
1,4,14,1,0
1,4,14,1,0
1,4,14,0.779661017,0
1,4,14,0.644067797,0
1,4,14,1,0
1,4,14,1,0
1,4,14,1,0
1,5,14,0.728813559,0
1,5,14,0.593220339,0
1,5,14,0.338983051,0
1,5,14,1,1
1,5,14,0.86440678,1
1,5,14,1,1
1,5,14,1,1
1,6,2,0.118644068,0
1,6,2,0.118644068,0
1,6,2,0.084745763,0
1,6,2,0.050847458,0
1,6,2,0.491525424,1
1,6,2,0.101694915,0
1,6,2,0.066666667,0
1,7,14,0.271186441,0
1,7,14,0.474576271,0
1,7,14,0.372881356,0
1,7,14,0.474576271,0
1,7,14,0.288135593,0
1,7,14,0.423728814,0
1,7,14,0.333333333,0
1,8,14,1,0
1,8,14,1,0
1,8,14,1,0
1,8,14,1,0
1,8,14,1,0
1,8,14,1,0
1,8,14,1,0
1,9,14,0.050847458,0
1,9,14,0.220338983,0
1,9,14,0.050847458,0
1,9,14,0.033898305,0
1,9,14,0.254237288,0
1,9,14,0.033898305,0
1,9,14,0.2,0
1,10,14,0.949152542,1
1,10,14,0.644067797,0
1,10,14,0.118644068,0
1,10,14,0.152542373,0
1,10,14,0.406779661,0
1,10,14,0.050847458,0
1,10,14,0,0
1,11,14,0.152542373,0
1,11,14,0.271186441,0
1,11,14,0.203389831,0
1,11,14,0.152542373,0
1,11,14,0.118644068,0
1,11,14,0.13559322,0
1,11,14,0.133333333,0
1,12,14,0.627118644,0
1,12,14,0.711864407,0
1,12,14,0.745762712,0
1,12,14,1,0
1,12,14,0.677966102,0
1,12,14,0.813559322,0
1,12,14,0.6,0
1,13,14,0.271186441,0
1,13,14,0.423728814,0
1,13,14,0.288135593,0
1,13,14,0.288135593,0
1,13,14,0.355932203,0
1,13,14,0.525423729,0
1,13,14,0.466666667,0
1,14,14,0.016949153,0
1,14,14,0.508474576,0
1,14,14,0.084745763,0
1,14,14,0.084745763,0
1,14,14,0.050847458,0
1,14,14,0.050847458,0
1,14,14,0,0
1,15,14,0.118644068,0
1,15,14,0.203389831,0
1,15,14,0.084745763,0
1,15,14,0.050847458,0
1,15,14,0.118644068,0
1,15,14,0.06779661,0
1,15,14,0.133333333,0
1,16,14,1,0
1,16,14,1,0
1,16,14,1,0
1,16,14,1,0
1,16,14,1,0
1,16,14,1,0
1,16,14,1,0
6,0,14,0.25,0
6,0,14,0.083333333,0
6,0,14,0.125,0
6,0,14,0.041666667,0
6,0,14,0.125,0
6,0,14,0.041666667,0
6,0,14,0,0
6,0,14,0.041666667,0
6,0,14,0.083333333,0
6,0,14,0.125,0
6,0,14,0.041666667,0
6,0,14,0,0
6,0,14,0,0
6,0,14,0.166666667,0
6,0,14,0.125,0
6,0,14,0.125,0
6,0,14,0.041666667,0
6,0,14,0.083333333,0
6,0,14,0.083333333,0
6,0,14,0.041666667,0
6,1,14,0.208333333,0
6,1,14,0,0
6,1,14,0.125,0
6,1,14,0.208333333,0
6,1,14,0.083333333,0
6,1,14,0.166666667,0
6,1,14,0.125,0
6,1,14,0.208333333,0
6,1,14,0,0
6,1,14,0.208333333,0
6,1,14,0.083333333,0
6,1,14,0,0
6,1,14,0.083333333,0
6,1,14,0.083333333,0
6,1,14,0.125,0
6,1,14,0.041666667,0
6,1,14,0.041666667,0
6,1,14,0.041666667,0
6,1,14,0.083333333,0
6,1,14,0.041666667,0
6,2,14,0.041666667,0
6,2,14,0,0
6,2,14,0.041666667,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0.041666667,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,2,14,0,0
6,3,14,0.083333333,0
6,3,14,0.083333333,0
6,3,14,0.041666667,0
6,3,14,0.166666667,0
6,3,14,0.083333333,0
6,3,14,0.333333333,0
6,3,14,0.25,0
6,3,14,0.208333333,0
6,3,14,0.041666667,0
6,3,14,0.125,0
6,3,14,0.166666667,0
6,3,14,0,0
6,3,14,0.166666667,0
6,3,14,0.125,0
6,3,14,0.041666667,0
6,3,14,0,0
6,3,14,0,0
6,3,14,0.083333333,0
6,3,14,0.166666667,0
6,3,14,0.083333333,0
6,4,14,0.75,0
6,4,14,0,0
6,4,14,0.5,0
6,4,14,0.208333333,0
6,4,14,1,0
6,4,14,0.25,0
6,4,14,1,0
6,4,14,0.791666667,0
6,4,14,0,0
6,4,14,0,0
6,4,14,0.958333333,0
6,4,14,1,0
6,4,14,0,0
6,4,14,0.458333333,0
6,4,14,0.708333333,0
6,4,14,0.041666667,0
6,4,14,1,0
6,4,14,1,0
6,4,14,0.666666667,0
6,4,14,0,0
6,5,14,0.166666667,0
6,5,14,0,0
6,5,14,0.583333333,1
6,5,14,0.208333333,1
6,5,14,0,0
6,5,14,0.291666667,0
6,5,14,0,0
6,5,14,0,0
6,5,14,0,0
6,5,14,0,0
6,5,14,0.166666667,0
6,5,14,1,0
6,5,14,0,0
6,5,14,0.208333333,0
6,5,14,0,0
6,5,14,0.166666667,0
6,5,14,0.041666667,0
6,5,14,0,0
6,5,14,0.583333333,1
6,5,14,0,0
6,6,14,0.083333333,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,6,14,0,0
6,7,14,0.083333333,0
6,7,14,0.083333333,0
6,7,14,0.083333333,0
6,7,14,0.125,0
6,7,14,0,0
6,7,14,0.041666667,0
6,7,14,0.166666667,0
6,7,14,0,0
6,7,14,0.041666667,0
6,7,14,0.125,0
6,7,14,0.083333333,0
6,7,14,0,0
6,7,14,0.041666667,0
6,7,14,0.125,0
6,7,14,0.041666667,0
6,7,14,0.041666667,0
6,7,14,0.083333333,0
6,7,14,0.166666667,0
6,7,14,0.041666667,0
6,7,14,0.125,0
6,8,14,0.375,0
6,8,14,0,0
6,8,14,0,0
6,8,14,0.041666667,0
6,8,14,0.125,0
6,8,14,0.208333333,0
6,8,14,0,0
6,8,14,0.458333333,0
6,8,14,0.041666667,0
6,8,14,0.666666667,0
6,8,14,0.583333333,0
6,8,14,0,0
6,8,14,0.041666667,0
6,8,14,0,0
6,8,14,0.291666667,0
6,8,14,0,0
6,8,14,0.458333333,0
6,8,14,0.833333333,0
6,8,14,0,0
6,8,14,0,0
6,9,14,0.041666667,0
6,9,14,0.208333333,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0.166666667,0
6,9,14,0.25,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0.041666667,0
6,9,14,0,0
6,9,14,0,0
6,9,14,0.416666667,0
6,9,14,0.166666667,0
6,9,14,0.041666667,0
6,9,14,0.25,0
6,9,14,0.416666667,0
6,10,14,0.583333333,0
6,10,14,0,0
6,10,14,0.666666667,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,10,14,0,0
6,11,14,0.041666667,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0.125,0
6,11,14,0,0
6,11,14,0.041666667,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0.041666667,0
6,11,14,0,0
6,11,14,0.041666667,0
6,11,14,0,0
6,11,14,0.041666667,0
6,11,14,0,0
6,11,14,0,0
6,11,14,0.041666667,0
6,12,14,0.041666667,0
6,12,14,0.333333333,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0.083333333,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,12,14,0,0
6,13,14,0.041666667,0
6,13,14,1,0
6,13,14,0,0
6,13,14,0.75,0
6,13,14,0.833333333,0
6,13,14,0.666666667,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0,0
6,13,14,0.416666667,0
6,13,14,0.958333333,0
6,14,14,0.416666667,0
6,14,14,0,0
6,14,14,0.958333333,0
6,14,14,0,0
6,14,14,0.166666667,0
6,14,14,0.75,0
6,14,14,0.583333333,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0.791666667,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0,0
6,14,14,0.625,0
6,14,14,0.625,0
6,14,14,0,0
6,15,14,0.041666667,0
6,15,14,0.083333333,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,15,14,0,0
6,16,14,1,0
6,16,14,1,0
6,16,14,1,0
6,16,14,0.916666667,0
6,16,14,1,0
6,16,14,1,0
6,16,14,1,0
6,16,14,1,0
6,16,14,0.125,0
6,16,14,0.708333333,0
6,16,14,1,0
6,16,14,1,0
6,16,14,0.791666667,0
6,16,14,0.708333333,0
6,16,14,0.958333333,0
6,16,14,0.541666667,0
6,16,14,1,0
6,16,14,1,0
6,16,14,1,0
6,16,14,0.958333333,0
2,0,14,0.915254237,0
2,1,14,0.93220339,0
2,10,14,0.86440678,0
2,11,14,0.966101695,0
2,12,14,0.966101695,0
2,13,14,1,0
2,14,14,0.966101695,0
2,15,14,0.86440678,0
2,16,14,1,0
2,2,14,0.949152542,0
2,3,14,0.966101695,0
2,4,14,0.949152542,0
2,5,14,0.881355932,0
2,6,14,0.830508475,0
2,7,14,0.86440678,0
2,8,14,0.796610169,0
2,9,14,0.881355932,0
2,0,14,1,0
2,1,14,1,0
2,10,14,1,0
2,11,14,1,0
2,12,14,1,0
2,13,14,1,0
2,14,14,1,0
2,15,14,1,0
2,16,14,1,0
2,2,14,1,0
2,3,14,1,0
2,4,14,1,0
2,5,14,1,0
2,6,14,1,0
2,7,14,1,0
2,8,14,1,0
2,9,14,1,0
2,0,14,1,0
2,1,14,1,0
2,10,14,1,0
2,11,14,1,0
2,12,14,1,0
2,13,14,1,0
2,14,14,0.830508475,0
2,15,14,1,0
2,16,14,1,0
2,2,14,1,0
2,3,14,1,0
2,4,14,1,0
2,5,14,1,0
2,6,14,0.983050847,0
2,7,14,1,0
2,8,14,0.898305085,0
2,9,14,1,0
2,0,14,1,0
2,1,14,1,0
2,10,14,1,0
2,11,14,1,0
2,12,14,1,0
2,13,14,1,0
2,14,14,1,0
2,15,14,1,0
2,16,14,1,0
2,2,14,1,0
2,3,14,1,0
2,4,14,1,0
2,5,14,1,0
2,6,14,1,0
2,7,14,1,0
2,8,14,1,0
2,9,14,1,0
2,0,14,1,0
2,1,14,1,0
2,10,14,1,0
2,11,14,1,0
2,12,14,1,0
2,13,14,1,0
2,14,14,1,0
2,15,14,0.983050847,0
2,16,14,1,0
2,2,14,1,0
2,3,14,1,0
2,4,14,1,0
2,5,14,1,0
2,6,14,1,0
2,7,14,1,0
2,8,14,1,0
2,9,14,1,0
2,0,14,0.830508475,0
2,1,14,0.830508475,0
2,10,14,0.813559322,0
2,11,14,0.830508475,0
2,12,14,0.830508475,0
2,13,14,0.830508475,0
2,14,14,0.830508475,0
2,15,14,0.813559322,0
2,16,14,0.847457627,0
2,2,14,0.847457627,0
2,3,14,0.847457627,0
2,4,14,0.830508475,0
2,5,14,0.830508475,0
2,6,14,0.830508475,0
2,7,14,0.813559322,0
2,8,14,0.779661017,0
2,9,14,0.830508475,0
2,0,14,1,0
2,1,14,1,0
2,10,14,1,0
2,11,14,1,0
2,12,14,1,0
2,13,14,1,0
2,14,14,1,0
2,15,14,0.949152542,0
2,16,14,1,0
2,2,14,1,0
2,3,14,1,0
2,4,14,1,0
2,5,14,1,0
2,6,14,0.966101695,0
2,7,14,0.93220339,0
2,8,14,0.949152542,0
2,9,14,1,0
2,0,14,0.983050847,0
2,1,14,1,0
2,10,14,1,0
2,11,14,1,0
2,12,14,1,0
2,13,14,1,0
2,14,14,1,0
2,15,14,0.966101695,0
2,16,14,1,0
2,2,14,1,0
2,3,14,1,0
2,4,14,1,0
2,5,14,1,0
2,6,14,0.966101695,0
2,7,14,0.93220339,0
2,8,14,0.949152542,0
2,9,14,1,0
2,0,14,0.915254237,0
2,1,14,0.93220339,0
2,10,14,0.915254237,0
2,11,14,0.915254237,0
2,12,14,0.949152542,0
2,13,14,0.966101695,0
2,14,14,0.983050847,0
2,15,14,0.898305085,0
2,16,14,1,0
2,2,14,0.915254237,0
2,3,14,0.915254237,0
2,4,14,0.93220339,0
2,5,14,0.93220339,0
2,6,14,0.728813559,0
2,7,14,0.86440678,0
2,8,14,0.711864407,0
2,9,14,0.93220339,0
2,0,14,0.915254237,0
2,1,14,0.93220339,0
2,10,14,0.898305085,0
2,11,14,0.93220339,0
2,12,14,0.915254237,0
